categoryid,parentid,categoryname,categoryorder,categoryvisible,alternateurl,lastmodified,category_displaymode,subcategory_displaymode1,display_columns,display_rows,display_showlistprice,display_showyousave,display_showdescriptionshort,display_showavailability,display_featuredproductsonly,rootid,metatag_title,metatag_description,default_sortby,link_title_tag,category_graphic_placement,filtercategory,categorydescriptionshort,categorydescription,metatag_keywords,categorydescription_belowproducts,custom_where_clause,hidden,breadcrumb,photoseed,subcategory_displaymode1_responsive,subcategory_displaycolumns_responsive
320,259,Haflinger,,,,6/17/2015 15:01,,,,,,,,,,7,,,,Haflinger,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Haflinger',Y,ALL WOMEN'S SHOES > Brands,,0,3
321,259,Harley Davidson,,,,5/9/2016 13:35,,,,,,,,,,7,,,Newest,Harley_Davidson,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Harley Davidson',N,ALL WOMEN'S SHOES > Brands,,0,3
322,259,Helen's Heart,,,,6/17/2015 15:13,,,,,,,,,,7,,,,Helens_Heart,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Helen''s Heart',Y,ALL WOMEN'S SHOES > Brands,,0,3
323,259,Hunter Boots,,,,5/9/2016 13:36,,,,,,,,,,7,,,Newest,Hunter_Boots,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Hunter Boots',N,ALL WOMEN'S SHOES > Brands,,0,3
324,259,Hush Puppy,,,,6/17/2015 15:32,,,,,,,,,,7,,,,Hush_Puppy,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Hush Puppy',Y,ALL WOMEN'S SHOES > Brands,,0,3
325,259,Jessica Simpson,,,,6/14/2016 12:27,,,,,,,,,,7,,,Newest,Jessica_Simpson,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Jessica Simpson',Y,ALL WOMEN'S SHOES > Brands,,0,3
326,259,John Fashion,,,,6/19/2015 11:13,,,,,,,,,,7,,,,John_Fashion,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'John Fashion',Y,ALL WOMEN'S SHOES > Brands,,0,3
327,259,Keds,,,,5/9/2016 13:39,,,,,,,,,,7,,,Newest,Keds,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Keds',N,ALL WOMEN'S SHOES > Brands,,0,3
328,259,Keen,,,,5/9/2016 13:39,,,,,,,,,,7,,,Newest,Keen,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Keen',N,ALL WOMEN'S SHOES > Brands,,0,3
329,259,Kensie Girl,,,,6/14/2016 12:28,,,,,,,,,,7,,,Newest,Kensie_Girl,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Kensie Girl',Y,ALL WOMEN'S SHOES > Brands,,0,3
330,259,La Plume,,,,5/9/2016 13:40,,,,,,,,,,7,,,Newest,La_Plume,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'La Plume',N,ALL WOMEN'S SHOES > Brands,,0,3
331,259,Lady Couture,,,,5/9/2016 13:41,,,,,,,,,,7,,,Newest,Lady_Couture,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Lady Couture',N,ALL WOMEN'S SHOES > Brands,,0,3
